PROPERTY PROPERTIES,,,
PRICE,SQFT,BEDS,BATHS
"$50,000 ","5,000 sq ft",5,4
"$200,220 ","16,200 sq ft",8,10
"$525,000 ","11,749 sq ft",8,9
"$400,320 ","20,000 sq ft",9,10
"$429,312 ","28,720 sq ft",8,10
"$535,678,000 ","81,000 sq ft",15,14
"$250,564 ","17,130 sq ft",8,10
"$284,590 ","19,430 sq ft",9,11
"$125,764 ","17,630 sq ft",7,10
"$333,333 ","25,333 sq ft",8,9
"$500,545,33","505,000 sq ft",14,18
"$734,521,000 ","10,000,234 sq ft",20,28
"$32,333 ","25,700 sq ft",10,13
"$443,200 ","25,000 sq ft",10,12
